#SourceA	SourceB	SourceA_Transcript_ID	SourceB_Transcript_ID	Call	Score	SourceA_Gene	SourceB_Gene	Category
C	A	transcriptC706		absent_transcript	0	geneC1168	geneA41587	
C	A	transcriptC1826		absent_transcript	0	geneC2730	geneA3421	changed_exons
C	A	transcriptC1827		absent_transcript	0	geneC2730	geneA3421	
C	A	transcriptC1828		absent_transcript	0	geneC2730	geneA3421	
C	A	transcriptC1829		absent_transcript	0	geneC2730	geneA3421	
C	A	transcriptC1831		absent_transcript	0	geneC2730	geneA3421	
C	A	transcriptC2870		absent_transcript	0	geneC38984	geneA8280	
C	A	transcriptC2871		absent_transcript	0	geneC38984	geneA8280	changed_exons
C	A	transcriptC2872		absent_transcript	0	geneC38984	geneA8280	
C	A	transcriptC3373	transcriptA116984	multiple_transcript	0	geneC15527	geneA20282	
C	A	transcriptC3373	transcriptA19706	multiple_transcript	0	geneC15527	geneA20284	
C	A	transcriptC3373	transcriptA98955	multiple_transcript	0	geneC15527	geneA20285	
C	A	transcriptC3373	transcriptA94488	multiple_transcript	0	geneC15527	geneA20283	
C	A	transcriptC7170		absent_transcript	0	geneC38985	geneA8281	
C	A	transcriptC7171		absent_transcript	0	geneC38985	geneA8281	changed_exons
C	A	transcriptC7172		absent_transcript	0	geneC38985	geneA8281	
C	A	transcriptC7173		absent_transcript	0	geneC38985	geneA8281	
C	A	transcriptC7174		absent_transcript	0	geneC38985	geneA8281	changed_exons
C	A	transcriptC7175		absent_transcript	0	geneC38985	geneA8281	
C	A	transcriptC7176		absent_transcript	0	geneC38985	geneA8281	changed_exons
C	A	transcriptC8798	transcriptA19706	unique_transcript	0	geneC15529	geneA20284	exact_match
C	A	transcriptC10632		absent_transcript	0	geneC9826	geneA14325	changed_exons
C	A	transcriptC11039	transcriptA138030	unique_transcript	0	geneC3827	geneA7023	target_contained
C	A	transcriptC11596	transcriptA136549	unique_transcript	0	geneC9046	geneA13455	exact_match
C	A	transcriptC14718		absent_transcript	0	geneC10475	geneA15082	
C	A	transcriptC15660		absent_transcript	0	geneC29445	geneA35467	
C	A	transcriptC16130		absent_transcript	0	geneC15528	geneA35066	changed_exons
C	A	transcriptC16178		absent_transcript	0	geneC24654	geneA35520	
C	A	transcriptC16236		absent_transcript	0	geneC25479	geneA30972	changed_exons
C	A	transcriptC18681	transcriptA20237	unique_transcript	0	geneC4108	geneA5016	source_contained
C	A	transcriptC19062	transcriptA57239	unique_transcript	0	geneC2719	geneA3408	exact_match
C	A	transcriptC19161		absent_transcript	0	geneC3818	geneA4704	
C	A	transcriptC19193		absent_transcript	0	geneC37875	geneA7138	changed_exons
C	A	transcriptC20300		absent_transcript	0	geneC2739	geneA17117	changed_exons
C	A	transcriptC20301		absent_transcript	0	geneC2739	geneA17117	changed_exons
C	A	transcriptC20349	transcriptA108979	unique_transcript	0	geneC15537	geneA20291	exact_match
C	A	transcriptC21273		absent_transcript	0	geneC2172	geneA2792	new_exons
C	A	transcriptC21538	transcriptA59649	unique_transcript	0	geneC33388	geneA3805	target_contained
C	A	transcriptC21579		absent_transcript	0	geneC26591	geneA38907	changed_exons
C	A	transcriptC21580		absent_transcript	0	geneC26591	geneA38907	changed_exons
C	A	transcriptC21581		absent_transcript	0	geneC26591	geneA38907	
C	A	transcriptC22199		absent_transcript	0	geneC15541	geneA35386	
C	A	transcriptC22660	transcriptA72394	unique_transcript	0	geneC2938	geneA3662	exact_match
C	A	transcriptC23073		absent_transcript	0	geneC988	geneA43674	
C	A	transcriptC23074		absent_transcript	0	geneC988	geneA43674	
C	A	transcriptC25905		gene_fusion	0	geneC14	geneA376;geneA377	new_exons
C	A	transcriptC26283		absent_transcript	0	geneC5524	geneA26197	
C	A	transcriptC28706	transcriptA84581	unique_transcript	0	geneC12726	geneA13004	source_contained
C	A	transcriptC29201	transcriptA114158	unique_transcript	0	geneC3307	geneA4128	exact_match
C	A	transcriptC29697	transcriptA59649	unique_transcript	0	geneC33392	geneA3805	target_contained
C	A	transcriptC30330		absent_transcript	0	geneC15869	geneA27377	
C	A	transcriptC30331		absent_transcript	0	geneC15869	geneA27377	
